condition,method,sample,bit_accuracy,ber,message_accuracy,selected_oracle_candidate,dcss_usage_rate
full,Coarse-Prior,13,1.0,0.0,1.0,,
full,Coarse-Prior,14,1.0,0.0,1.0,,
full,Coarse-Prior,15,1.0,0.0,1.0,,
full,Coarse-Prior,16,1.0,0.0,1.0,,
full,Coarse-Prior,17,1.0,0.0,1.0,,
full,Coarse-Prior,18,1.0,0.0,1.0,,
full,Coarse-Prior,19,1.0,0.0,1.0,,
full,Coarse-Prior,20,1.0,0.0,1.0,,
full,Coarse-Prior,21,1.0,0.0,1.0,,
full,Coarse-Prior,22,1.0,0.0,1.0,,
full,Coarse-Prior,23,1.0,0.0,1.0,,
full,Coarse-Prior,24,1.0,0.0,1.0,,
full,Coarse-Prior,25,1.0,0.0,1.0,,
full,Coarse-Prior,26,1.0,0.0,1.0,,
full,Coarse-Prior,27,1.0,0.0,1.0,,
full,Coarse-Prior,28,1.0,0.0,1.0,,
full,Coarse-Prior,29,1.0,0.0,1.0,,
full,Coarse-Prior,30,1.0,0.0,1.0,,
full,Coarse-Prior,31,1.0,0.0,1.0,,
full,Coarse-Prior,32,1.0,0.0,1.0,,
full,Coarse-Prior,33,1.0,0.0,1.0,,
full,Coarse-Prior,34,1.0,0.0,1.0,,
full,Coarse-Prior,35,1.0,0.0,1.0,,
full,Coarse-Prior,36,1.0,0.0,1.0,,
full,Coarse-Prior,37,0.9666666388511658,0.03333336114883423,0.0,,
full,Coarse-Prior,38,1.0,0.0,1.0,,
full,Coarse-Prior,39,1.0,0.0,1.0,,
full,Coarse-Prior,40,1.0,0.0,1.0,,
full,Coarse-Prior,41,1.0,0.0,1.0,,
full,Coarse-Prior,42,1.0,0.0,1.0,,
full,Coarse-Prior,43,1.0,0.0,1.0,,
full,Coarse-Prior,44,1.0,0.0,1.0,,
full,Coarse-Prior,45,1.0,0.0,1.0,,
full,Coarse-Prior,46,1.0,0.0,1.0,,
full,Coarse-Prior,47,1.0,0.0,1.0,,
full,Coarse-Prior,48,1.0,0.0,1.0,,
full,Coarse-Prior,49,1.0,0.0,1.0,,
full,Coarse-Prior,50,1.0,0.0,1.0,,
full,Coarse-Prior,51,1.0,0.0,1.0,,
full,Coarse-Prior,52,1.0,0.0,1.0,,
full,Coarse-Prior,53,1.0,0.0,1.0,,
full,Coarse-Prior,54,1.0,0.0,1.0,,
full,Coarse-Prior,55,1.0,0.0,1.0,,
full,Coarse-Prior,56,1.0,0.0,1.0,,
full,Coarse-Prior,57,1.0,0.0,1.0,,
full,Coarse-Prior,58,1.0,0.0,1.0,,
full,Coarse-Prior,59,1.0,0.0,1.0,,
full,Coarse-Prior,60,1.0,0.0,1.0,,
full,Coarse-Prior,61,1.0,0.0,1.0,,
