fallback_mode,threshold,condition,bit_accuracy,message_accuracy,dcss_usage_rate
average,0.127,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.127,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.127,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.127,macro_average,0.7876851956049601,,
average,0.1271,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1271,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1271,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1271,macro_average,0.7876851956049601,,
average,0.1272,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1272,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1272,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1272,macro_average,0.7876851956049601,,
average,0.1273,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1273,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1273,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1273,macro_average,0.7876851956049601,,
average,0.12739999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12739999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12739999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12739999999999999,macro_average,0.7876851956049601,,
average,0.1275,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1275,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1275,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1275,macro_average,0.7876851956049601,,
average,0.1276,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1276,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1276,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1276,macro_average,0.7876851956049601,,
average,0.1277,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1277,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1277,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1277,macro_average,0.7876851956049601,,
average,0.1278,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1278,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1278,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1278,macro_average,0.7876851956049601,,
average,0.12789999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12789999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12789999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12789999999999999,macro_average,0.7876851956049601,,
average,0.128,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.128,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.128,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.128,macro_average,0.7876851956049601,,
average,0.1281,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1281,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1281,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1281,macro_average,0.7876851956049601,,
average,0.1282,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1282,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1282,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1282,macro_average,0.7876851956049601,,
average,0.1283,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1283,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1283,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1283,macro_average,0.7876851956049601,,
average,0.1284,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1284,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1284,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1284,macro_average,0.7876851956049601,,
average,0.1285,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1285,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1285,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1285,macro_average,0.7878703673680624,,
average,0.1286,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1286,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1286,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1286,macro_average,0.7878703673680624,,
