fallback_mode,threshold,condition,bit_accuracy,message_accuracy,dcss_usage_rate
average,0.13,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.13,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.13,macro_average,0.7878703673680624,,
average,0.1301,crop50,0.8677777647972107,0.15000000596046448,0.008333333767950535
average,0.1301,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1301,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1301,macro_average,0.7878703673680624,,
average,0.13019999999999998,crop50,0.8711110949516296,0.15833333134651184,0.01666666753590107
average,0.13019999999999998,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.13019999999999998,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.13019999999999998,macro_average,0.7889814774195353,,
average,0.1303,crop50,0.8711110949516296,0.15833333134651184,0.01666666753590107
average,0.1303,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1303,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1303,macro_average,0.7889814774195353,,
average,0.1304,crop50,0.8711110949516296,0.15833333134651184,0.01666666753590107
average,0.1304,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1304,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1304,macro_average,0.7889814774195353,,
average,0.1305,crop50,0.8711110949516296,0.15833333134651184,0.01666666753590107
average,0.1305,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1305,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1305,macro_average,0.7889814774195353,,
average,0.1306,crop50,0.8711110949516296,0.15833333134651184,0.01666666753590107
average,0.1306,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1306,crop50_jpeg,0.6575000286102295,0.0,0.0
